Date,g[mm],sat[mm]
2013-09-26,0.0,0.0
2013-09-27,0.2,11.257777743869356
2013-09-28,1.6,8.706666734483507
2013-09-29,0.0,1.5277777777777777
2013-09-30,33.40000000000001,11.162222120496962
2013-10-01,0.4,1.432222260369195
2013-10-02,2.3,2.1977778540717234
2013-10-03,0.8500000000000001,16.140001085069443
2013-10-04,0.0,2.893333223130968
2013-10-05,0.0,0.7833333015441895
2013-10-06,0.0,0.028888887829250764
2013-10-07,0.0,0.06222222248713175
2013-10-08,0.9,10.026666429307726
2013-10-09,2.1,0.7722222010294596
2013-10-10,0.1,0.2288888825310601
2013-10-11,0.05,0.061111112435658775
2013-10-12,0.0,0.0
2013-10-13,0.0,0.0
2013-10-14,0.05,0.0
2013-10-15,0.0,0.6322222815619575
2013-10-16,0.0,0.5733333163791232
2013-10-17,0.0,0.0
2013-10-18,0.0,0.0
2013-10-19,0.0,0.617777771419949
2013-10-20,0.0,0.20333333810170487
2013-10-21,0.0,0.0
2013-10-22,0.0,0.0
2013-10-23,0.0,0.0
2013-10-24,0.0,0.0
2013-10-25,0.0,0.0
2013-10-26,0.0,0.03999999827808804
2013-10-27,0.0,0.00666666610373391
2013-10-28,0.0,0.0
2013-10-29,0.0,0.0
2013-10-30,0.0,0.023333334260516696
2013-10-31,0.0,2.4844443003336587
2013-11-01,0.0,0.03111111124356588
2013-11-02,0.0,0.0
2013-11-03,0.0,0.0
2013-11-04,0.0,0.0
2013-11-05,0.0,0.0
2013-11-06,0.0,0.0
2013-11-07,0.0,0.0
2013-11-08,0.0,0.0
2013-11-09,0.0,0.0
2013-11-10,0.0,0.0
2013-11-11,0.0,0.0
2013-11-12,0.0,0.0
2013-11-13,0.0,0.0
2013-11-14,0.0,0.0
2013-11-15,0.0,0.0
2013-11-16,0.05,0.0
2013-11-17,0.0,3.676666683620877
2013-11-18,0.0,0.0
2013-11-19,0.0,0.0
2013-11-20,0.0,0.0
2013-11-21,0.0,0.0
2013-11-22,0.0,0.0
2013-11-23,0.0,0.0
2013-11-24,0.0,0.0
2013-11-25,0.0,0.0
2013-11-26,0.0,0.0
2013-11-27,0.0,0.0
2013-11-28,0.0,0.0
2013-11-29,0.0,0.0
2013-11-30,0.0,0.0
2013-12-01,0.0,0.0
2013-12-02,0.0,0.0
2013-12-03,0.0,0.0
2013-12-04,0.0,0.0
2013-12-05,0.0,0.0
2013-12-06,0.0,0.0
2013-12-07,0.0,0.0
2013-12-08,0.0,0.0
2013-12-09,0.0,0.0
2013-12-10,0.0,0.0
2013-12-11,0.0,0.0
2013-12-12,0.0,0.0
2013-12-13,0.0,0.0
2013-12-14,0.0,0.0
2013-12-15,0.0,0.6022222306993272
2013-12-16,0.0,0.0
2013-12-17,0.0,0.0
2013-12-18,0.0,0.0
2013-12-19,0.0,0.0
2013-12-20,0.0,0.0
2013-12-21,0.0,0.0
2013-12-22,0.0,0.0
2013-12-23,0.0,0.0
2013-12-24,0.0,0.0
2013-12-25,0.0,0.0
2013-12-26,0.0,0.0
2013-12-27,0.0,0.0
2013-12-28,0.0,0.0
2013-12-29,0.0,0.0
2013-12-30,0.0,0.0
2013-12-31,0.0,0.0
2014-01-01,0.0,0.0
2014-01-02,0.0,0.0
2014-01-03,0.0,0.0
2014-01-04,0.0,0.0
2014-01-05,0.0,0.0
2014-01-06,0.0,0.0
2014-01-07,0.0,0.0
2014-01-08,0.0,0.0
2014-01-09,0.0,0.0
2014-01-10,0.0,0.0
2014-01-11,0.0,0.0
2014-01-12,0.0,0.0
2014-01-13,0.0,0.0
2014-01-14,0.0,0.0
2014-01-15,0.0,0.0
2014-01-16,0.0,0.0
2014-01-17,0.0,0.0
2014-01-18,8.75,11.508889092339409
2014-01-19,0.0,0.08000000317891437
2014-01-20,0.05,0.0
2014-01-21,0.0,0.0
2014-01-22,0.0,0.0
2014-01-23,0.0,0.0
2014-01-24,0.0,0.016666667328940496
2014-01-25,0.0,0.0
2014-01-26,0.0,0.01222222215599484
2014-01-27,0.0,0.0
2014-01-28,0.0,0.0
2014-01-29,0.0,0.0
2014-01-30,0.0,0.0
2014-01-31,0.0,0.0
2014-02-01,0.0,0.0
2014-02-02,0.0,0.0
2014-02-03,0.0,0.0
